;class;message;stemmed;not_stemmed
21;ham;I‘m going to try for 2 months ha ha only joking;go tri number month ha ha joke;i m going to try for number months ha ha only joking
22;ham;So ü pay first lar... Then when is da stock comin...;pay first lar stock come;so i pay first lar then when is a stock coming
23;ham;Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?;aft finish lunch go star ard number smith finish ur lunch alreadi;aft i finish my lunch then i go star down for ard number smith for you finish ur lunch already
24;ham;Ffffffffff. Alright no way I can meet up with you sooner?;ffffffffff alright way meet sooner;ffffffffff alright no way i can meet up with you sooner
25;ham;Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol;forc eat slice realli hungri tho suck mark get worri know sick turn pizza lot;just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lot
26;ham;Lol your always so convincing.;lot alway convinc;lot your always so convincing
27;ham;Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?;catch bu fri egg make tea eat mom left dinner feel love;did you catch the bus are you frying an egg did you make a tea are you eating your mom s left over dinner do you feel my love
28;ham;"I'm back &amp; we're packing the car now, I'll let you know if there's room";back amp pack car let know room;i m back amp we re packing the car now i all let you know if there s room
29;ham;Ahhh. Work. I vaguely remember that! What does it feel like? Lol;ah work vagu rememb feel like lot;ah work i vaguely remember that what does it feel like lot
30;ham;Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us;wait still clear sure sarcast x want live us;wait that s still not all that clear were you not sure about me being sarcastic or that that s why x does t want to live with us
31;ham;Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ;yeah got number v apologet n fallen actin like spoilt child got caught till number go badli cheer;yeah he got in at number and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till number but we won t go there not doing too badly cheers you
32;ham;K tell me anything about you.;k tell anyth;k tell me anything about you
33;ham;For fear of fainting with the of all that housework you just did? Quick have a cuppa;fear faint housework quick cuppa;for fear of fainting with the of all that housework you just did quick have a cuppa
34;spam;Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged;thank subscript inton mobil charg moneysymb number month pleas confirm repli ye repli charg;thanks for your subscription to intone up your mobile will be charged moneysymb number month please confirm by replying yes or no if you reply no you will not be charged
35;ham;Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am;yup ok go home look time mug hui go learn number nd may lesson number;yup ok i go home look at the timings then i mug i again hui going to learn on number nd may too but her lesson is at number am
36;ham;Oops, I'll let you know when my roommate's done;oop let know roommat done;oops i all let you know when my roommate s done
37;ham;I see the letter B on my car;see letter b car;i see the letter b on my car
38;ham;Anything lor... U decide...;anyth decid;anything for you decide
39;ham;Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!;hello saturday go test see decid anyth tri invit anyth;hello how s you and how did saturday go i was just testing to see if you d decided to do anything too not that i m trying to invite myself or anything
40;ham;Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola;plu go ahead watt want sure great weekend viola;plus go ahead with watts i just wanted to be sure do have a great weekend viola
41;ham;Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy;forget tell want need crave love sweet arabian steed mmmmmm yummi;did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy
42;spam;07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow;number rodger burn mug tri call repli sum free nokia mobil free camcord pleas call phonenumb deliveri tomorrow;number rodger burns mug we tried to call you re your reply to our sums for a free nokia mobile free camcorder please call now phonenumber for delivery tomorrow
43;ham;WHO ARE YOU SEEING?;see;who are you seeing
44;ham;"Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...";great hope like man well endow lt inch;great i hope you like your man well endowed i am lt it inches
45;ham;No calls..messages..missed calls;call messag miss call;no calls messages missed calls
46;ham;Didn't you get hep b immunisation in nigeria.;get hep b immun nigeria;did t you get hep b immunization in nigeria
47;ham;Fair enough, anything going on?;fair enough anyth go;fair enough anything going on
48;ham;Yeah hopefully, if tyler can't do it I could maybe ask around a bit;yeah hope tyler could mayb ask around bit;yeah hopefully if tyler can t do it i could maybe ask around a bit
49;ham;U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.;u know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker;u don t know how stubborn i am i did t even want to go to the hospital i kept telling mark i m not a weak sucker hospitals are for weak suckers
50;ham;What you thinked about me. First time you saw me in class.;thank first time saw class;what you thanked about me first time you saw me in class
51;ham;"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;";gram usual run like lt half eighth smarter though get almost whole second gram lt;a gram usually runs like lt it a half eighth is smarter though and gets you almost a whole second gram for lt it
52;ham;K fyi x has a ride early tomorrow morning but he's crashing at our place tonight;k fri x ride earli tomorrow morn crash place tonight;k fri x has a ride early tomorrow morning but he s crashing at our place tonight
53;ham;"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.";wow never realiz embarrass accommod thought like sinc best could alway seem happi cave sorri give sorri offer sorri room embarrass;wow i never realized that you were so embarrassed by your accommodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave i m sorry i did t and don t have more to give i m sorry i offered i m sorry your room was so embarrassing
54;spam;SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV;sum ac spiv new jersey devil detroit red wing play ice hockey correct incorrect end repli end spiv;sums ac spiv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end spiv
55;ham;"Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;";know gallia sheratan yesterday find lt curl;do you know what gallia sheratan did yesterday find out now lt curl it
56;spam;Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ;congrat number year special cinema pass number call phonenumb c superman v matrix number starter number et number free number number number number pm miss;congrats number year special cinema pass for number is yours call phonenumber now c superman v matrix number starters number et all number free be number i number number we number pm don't miss out
57;ham;Sorry, I'll call later in meeting.;sorri call later meet;sorry i all call later in meeting
58;ham;Tell where you reached;tell reach;tell where you reached
59;ham;Yes..gauti and sehwag out of odi series.;ye gate shag odd seri;yes gate and shag out of odd series
60;ham;Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.;gonna pick moneysymb number burger way home even move pain kill;your gonna have to pick up a moneysymb number burger for yourself on your way home i can t even move pain is killing me
61;ham;Ha ha ha good joke. Girls are situation seekers.;ha ha ha good joke girl situat seeker;ha ha ha good joke girls are situation seekers
62;ham;Its a part of checking IQ;part check;its a part of checking i
63;ham;Sorry my roommates took forever, it ok if I come by now?;sorri roommat took forev ok come;sorry my roommates took forever it ok if i come by now
64;ham;Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.;ok lar doubl check hair dresser alreadi said run cut v short said cut look nice;ok lar i double check if a hair dresser already he said run cut v short he said will cut until i look nice
65;spam;As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589;valu custom pleas advis follow recent review mob award moneysymb number bonu prize call number;as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a moneysymb number bonus prize call number
66;ham;"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...";today song dedic day song dedic send ur valuabl find first reli;today is song dedicated day which song will you dedicate for me send this to all ur valuable finds but first rely me
67;spam;Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ;urgent ur award complimentari trip eurodisinc trap act entri number moneysymb number claim text di number number number moneysymb number morefrmmob shracomorsglsuplt number ls number number;urgent ur awarded a complimentary trip to eurodisinc trap act entry number or moneysymb number to claim text dis to number number number moneysymb number morefrmmob shracomorsglsuplt number ls number number a
68;spam;"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!";hear new divorc barbi come ken stuff;did you hear about the new divorce barbie it comes with all of ken s stuff
69;ham;I plane to give on this month end.;plane give month end;i plane to give on this month end
70;ham;Wah lucky man... Then can save money... Hee...;lucki man save money;was lucky man then can save money he
71;ham;Finished class where are you.;finish class;finished class where are you
72;ham;HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX;hi babe home wanna someth ex;hi babe i at home now wanna do something ex
73;ham;K..k:)where are you?how did you performed?;k k perform;k k where are you how did you performed
74;ham;U can call me now...;u call;u can call me now
75;ham;I am waiting machan. Call me once you free.;wait machin call free;i am waiting machine call me once you free
76;ham;Thats cool. i am a gentleman and will treat you with dignity and respect.;cool gentleman treat digniti respect;that cool i am a gentleman and will treat you with dignity and respect
77;ham;I like you peoples very much:) but am very shy pa.;like peopl much shi pa;i like you peoples very much but am very shy pa
78;ham;"Does not operate after  &lt;#&gt;  or what";oper lt;does not operate after lt it or what
79;ham;Its not the same here. Still looking for a job. How much do Ta's earn there.;still look job much ta earn;its not the same here still looking for a job how much do ta s earn there
80;ham;Sorry, I'll call later;sorri call later;sorry i all call later
81;ham;K. Did you call me just now ah? ;k call ah;k did you call me just now ah
82;ham;Ok i am on the way to home hi hi;ok way home hi hi;ok i am on the way to home hi hi
83;ham;You will be in the place of that man;place man;you will be in the place of that man
84;ham;Yup next stop.;yup next stop;yup next stop
85;ham;I call you later, don't have network. If urgnt, sms me.;call later network urgent sum;i call you later don t have network if urgent sums me
86;ham;For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.;real get yo need number ticket one jacket done alreadi use mufti;for real when you getting on yo i only need number more tickets and one more jacket and i m done i already used all my muftis
87;ham;Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.;ye start send request make pain came back back bed doubl coin factori gotta cash nitrou;yes i started to send requests to make it but pain came back so i m back in bed double coins at the factory too i gotta cash in all my nitrous
88;ham;I'm really not up to it still tonight babe;realli still tonight babe;i m really not up to it still tonight babe
89;ham;Ela kano.,il download, come wen ur free..;la kano download come wen ur free;la kano i download come wen ur free
90;ham;Yeah do! Don‘t stand to close tho- you‘ll catch something!;yeah stand close tho catch someth;yeah do don t stand to close tho you all catch something
91;ham;Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ;sorri pain ok meet anoth night spent late afternoon casualti mean done stuff number moro includ time sheet sorri;sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i haven t done any of y stuff number moro and that includes all my time sheets and that sorry
92;ham;Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!;smile pleasur smile pain smile troubl pour like rain smile sum number hurt smile becom someon still love see smile;smile in pleasure smile in pain smile when trouble pours like rain smile when sum number hurts you smile become someone still loves to see you smiling
93;spam;Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!;pleas call custom servic repres number number number number number pm guarante moneysymb number cash moneysymb number prize;please call our customer service representative on number number number between number am number pm as you have won a guaranteed moneysymb number cash or moneysymb number prize
94;ham;Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?;plan buy later check alreadi lido got number show e afternoon finish work alreadi;haven't planning to buy later i check already lido only got number show in e afternoon you finish work already
95;spam;"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16";free inton wait collect simpli text password mix number verifi get usher britney fl po box number mk number number h number paw number;your free intone is waiting to be collected simply text the password mix to number to verify get usher and britney fl po box number mk number number h number paw number
96;ham;Watching telugu movie..wat abt u?;watch telugu movi wat u;watching telugu movie wat at u
97;ham;i see. When we finish we have loads of loans to pay;see finish load loan pay;i see when we finish we have loads of loans to pay
98;ham;"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""";hi ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus rob u;hi we been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause rob for u
99;ham;I see a cup of coffee animation;see cup coffe anim;i see a cup of coffee animation
100;ham;Please don't text me anymore. I have nothing else to say.;pleas text anymor noth els say;please don t text me anymore i have nothing else to say
101;ham;Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx;okay name ur price long legal wen pick ave x ex;okay name ur price as long as its legal wen can i pick them up y you ave x as ex
102;ham;I'm still looking for a car to buy. And have not gone 4the driving test yet.;still look car buy gone number drive test yet;i m still looking for a car to buy and have not gone number the driving test yet
103;ham;As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune;per request bell bell minnaminungint nurungu vet set callertun caller press number copi friend callertun;as per your request belle belle or minnaminunginte nurungu vetted has been set as your callertune for all callers press number to copy your friends callertune
104;ham;wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.;wow right mean guess gave boston men chang search locat nyx someth chang cut sign page still say boston;wow you re right i did t mean to do that i guess once i gave up on boston men and changed my search location to nyx something changed cut on my signing page it still says boston
105;ham;Umma my life and vava umma love you lot dear;emma life lava emma love lot dear;emma my life and lava emma love you lot dear
106;ham;Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.;thank lot wish birthday thank make birthday truli memor;thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable
107;ham;Aight, I'll hit you up when I get some cash;right hit get cash;right i all hit you up when i get some cash
108;ham;How would my ip address test that considering my computer isn't a minecraft server;would address test consid comput mineshaft server;how would my i address test that considering my computer in t a mineshaft server
109;ham;I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...;know grumpi old peopl mom like better lie alway one play joke;i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes
110;ham;Dont worry. I guess he's busy.;worri guess busi;don't worry i guess he s busy
111;ham;What is the plural of the noun research?;plural noun research;what is the plural of the noun research
112;ham;Going for dinner.msg you after.;go httpaddr;going for httpaddr you after
113;ham;I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.;ok co like number tri new thing scare dun like man co said loud;i m ok if it cos i like number try new things but i scared you dun like man cos you said not too loud
114;spam;GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm;gent tri contact last weekend draw show moneysymb number prize guarante call number claim code k number valid number number ppm;gent we are trying to contact you last weekends draw shows that you won a moneysymb number prize guaranteed call number claim code k number valid number his only number ppm
115;ham;Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?;ur open sentenc formal anyway fine jug eat much n put weight hah anyth special happen;a ur opening sentence very formal anyway i m fine too jug to i m eating too much n putting on weight hah so anything special happened
116;ham;As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.;enter cabin pa said happi b day boss felt special ask number lunch lunch invit apart went;as i entered my cabin my pa said happy b day boss i felt special she ask me number lunch after lunch she invited me to her apartment we went there
117;spam;You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ;winner special select number receiv moneysymb number number holiday flight inc speak live oper number claim number p min number;you are a winner you have been specially selected number receive moneysymb number or a number holiday flights inc speak to a live operator number claim number p min number
118;ham;Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ;good ye must speak friday egg potato ratio tortilla need;good yes we must speak friday egg potato ratio for tortilla needed
119;ham;Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.;hmm uncl inform pay school directli plu buy food;hmm my uncle just informed me that he s paying the school directly so plus buy food
120;spam;PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires;privat number account statement phonenumb show number unredeem bonu point claim call phonenumb identifi code number expir;private your number account statement for phonenumber shows number unredeemed bonus points to claim call phonenumber identifier code number expires
121;spam;URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM;urgent mobil award moneysymb number bonu caller prize number number number final tri contact u call landmin phonenumb box number number c number ppm;urgent your mobile no was awarded moneysymb number bonus caller prize on number number number this is our final try to contact u call from landmine phonenumber box number we number c number ppm
122;ham;here is my new address -apples&pairs&all that malarky;new address appl pair malarki;here is my new address apples pairs all that malarky
123;spam;Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app;today soda number end number select receiv moneysymb number award match pleas call phonenumb quot claim code number standard rate ape;today soda numbers ending number are selected to receive a moneysymb number award if you have a match please call phonenumber quoting claim code number standard rates ape
124;ham;I am going to sao mu today. Will be done only at 12 ;go sao mu today done number;i am going to sao mu today will be done only at number
125;ham;Ü predict wat time ü'll finish buying?;predict wat time finish buy;i predict wat time i all finish buying
126;ham;Good stuff, will do.;good stuff;good stuff will do
127;ham;Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.;know retun sent money yet sent text bother send involv anyth impos anyth first place apolog;just so that you know retune has t sent money yet i just sent her a text not to bother sending so its over you don't have to involve yourself in anything i should t have imposed anything on you in the first place so for that i apologize
128;ham;Are you there in room.;room;are you there in room
129;ham;HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx;hey girl r u hope r well del r back long time c give call sum time luci;hey girl how r u hope you r well me an del r back again long time no c give me a call sum time from lucy
130;ham;K..k:)how much does it cost?;k k much cost;k k how much does it cost
131;ham;I'm home.;home;i m home
132;ham;Dear, will call Tmorrow.pls accomodate.;dear call httpaddr accommod;dear will call httpaddr accommodate
133;ham;First answer my question.;first answer question;first answer my question
134;spam;Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone;sunshin quiz wili q win top soni player know countri alga text an number moneysymb number sp tyron;sunshine quiz wily q win a top sony did player if you know which country the algae is in text ans to number moneysymb number sp tyrone
135;spam;Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p;want number get laid tonight want real dog locat sent direct number ur mob join largest dog network bt tote gravel number e number httpaddr;want number get laid tonight want real dogging locations sent direct number ur mob join the up s largest dogging network bt toting gravel to number it e number a httpaddr
136;ham;I only haf msn. It's yijue@hotmail.com;man emailaddr;i only had man it s emailaddr
137;ham;He is there. You call and meet him;call meet;he is there you call and meet him
138;ham;No no. I will check all rooms befor activities;check room activ;no no i will check all rooms before activities
139;spam;You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again;rev mug chat sec free hardcor servic text go number get noth must age verifi network tri;you all not rev any more mugs from the chat sec for free hardcore services text go to number if you get nothing you must age verify with or network try again
140;ham;Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...;got c lazi type forgot let saw pouch like v nice;got c i lazy to type i forgot i in let i saw a pouch but like not v nice
141;ham;K, text me when you're on the way;k text way;k text me when you re on the way
142;ham;Sir, Waiting for your mail.;sir wait mail;sir waiting for your mail
143;ham;"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8";set thought never get tire littl thing number lovabl person coz sometim littl thing occupi biggest part heart guy ni number;a set thought never get tired of doing little things number lovable persons coz sometimes those little things occupy d biggest part in their hearts guy ni number
144;ham;I know you are. Can you pls open the back?;know plu open back;i know you are can you plus open the back
145;ham;Yes see ya not on the dot;ye see ya dot;yes see ya not on the dot
146;ham;Whats the staff name who is taking class for us?;what staff name take class us;whats the staff name who is taking class for us
147;spam;FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end;free repli text randi sexi femal live local lug hear u netcollex ltd number p per mug repli stop end;freeing why haven t you replied to my text i m randy sexy female and live local lug to hear from u netcollex ltd number p per mug reply stop to end
148;ham;Ummma.will call after check in.our life will begin from qatar so pls pray very hard.;httpaddr call check httpaddr life begin qatar plu pray hard;httpaddr call after check httpaddr life will begin from qatar so plus pray very hard
149;ham;K..i deleted my contact that why?;k delet contact;k i deleted my contact that why
150;ham;Sindu got job in birla soft ..;sind got job birl soft;sind got job in birl soft
151;ham;The wine is flowing and i'm i have nevering..;wine flow sever;the wine is flowing and i m i have severing
152;ham;Yup i thk cine is better cos no need 2 go down 2 plaza mah.;yup cine better co need number go number plaza man;yup i the cine is better cos no need number go down number plaza man
153;ham;Ok... Ur typical reply...;ok ur typic repli;ok ur typical reply
154;ham;As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune;per request bell bell minnaminungint nurungu vet set callertun caller press number copi friend callertun;as per your request belle belle or minnaminunginte nurungu vetted has been set as your callertune for all callers press number to copy your friends callertune
155;ham;You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.;everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot show httpaddr see guess like thing must exist like rain hail mist time done becom one;you are everywhere dirt on the floor the windows even on my shirt and sometimes when i open my mouth you are all that comes flowing out i dream of my world without you then half my chores are out too a time of joy for me lots of to shows httpaddr see but i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one
156;ham;Aaooooright are you at work?;aaooooright work;aaooooright are you at work
157;ham;I'm leaving my house now...;leav hous;i m leaving my house now
158;ham;Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?;hello love get interview today happi good boy think miss;hello my love what are you doing did you get to that interview today are you you happy are you being a good boy do you think of me are you missing me
159;spam;Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery;custom servic announc new year deliveri wait pleas call phonenumb arrang deliveri;customer service announcement you have a new years delivery waiting for you please call phonenumber now to arrange delivery
